Frequency PSD
4.0707900e+00 4.4370600e-38
4.0745500e+00 4.5802420e-38
4.0783100e+00 4.7259299e-38
4.0820800e+00 4.8738960e-38
4.0858500e+00 5.0243357e-38
4.0896200e+00 5.1771562e-38
4.0934000e+00 5.3324130e-38
4.0971800e+00 5.4901603e-38
4.1009700e+00 5.6503139e-38
4.1047500e+00 5.8131163e-38
4.1085500e+00 5.9782372e-38
4.1123400e+00 6.1457811e-38
4.1161400e+00 6.3158470e-38
4.1199400e+00 6.4986129e-38
4.1237500e+00 6.6990489e-38
4.1275600e+00 6.9181472e-38
4.1313700e+00 7.1565939e-38
4.1351800e+00 7.4148368e-38
4.1390000e+00 7.6837079e-38
4.1428300e+00 7.9575801e-38
4.1466500e+00 8.2365562e-38
4.1504800e+00 8.5204816e-38
4.1543200e+00 8.8095677e-38
4.1581600e+00 9.1037915e-38
4.1620000e+00 9.4030898e-38
4.1658400e+00 9.7076625e-38
4.1696900e+00 1.0017229e-37
4.1735400e+00 1.0331952e-37
4.1773900e+00 1.0651887e-37
4.1812500e+00 1.0977349e-37
4.1851200e+00 1.1307632e-37
4.1889800e+00 1.1643159e-37
4.1928500e+00 1.1983870e-37
4.1967200e+00 1.2329324e-37
4.2006000e+00 1.2680519e-37
4.2044800e+00 1.3036974e-37
4.2083600e+00 1.3398755e-37
4.2122500e+00 1.3765643e-37
4.2161400e+00 1.4137984e-37
4.2200400e+00 1.4515686e-37
4.2239300e+00 1.4898693e-37
4.2278400e+00 1.5287054e-37
4.2317400e+00 1.5680773e-37
4.2356500e+00 1.6079870e-37
4.2395600e+00 1.6484404e-37
4.2434800e+00 1.6895305e-37
4.2474000e+00 1.7314654e-37
4.2513200e+00 1.7742492e-37
4.2552500e+00 1.8179000e-37
4.2591800e+00 1.8624314e-37
4.2631100e+00 1.9077497e-37
4.2670500e+00 1.9536553e-37
4.2709900e+00 2.0001545e-37
4.2749400e+00 2.0472394e-37
4.2788900e+00 2.0949212e-37
4.2828400e+00 2.1431936e-37
4.2867900e+00 2.1920611e-37
4.2907500e+00 2.2415323e-37
4.2947200e+00 2.2915965e-37
4.2986800e+00 2.3422613e-37
4.3026600e+00 2.3935309e-37
4.3066300e+00 2.4454004e-37
4.3106100e+00 2.4978791e-37
4.3145900e+00 2.5509559e-37
4.3185700e+00 2.6046502e-37
4.3225600e+00 2.6589525e-37
4.3265600e+00 2.7138675e-37
4.3305500e+00 2.7693945e-37
4.3345500e+00 2.8255450e-37
4.3385600e+00 2.8823026e-37
4.3425600e+00 2.9396787e-37
4.3465800e+00 2.9976718e-37
4.3505900e+00 3.0562869e-37
4.3546100e+00 3.1155274e-37
4.3586300e+00 3.1753915e-37
4.3626600e+00 3.2358858e-37
4.3666900e+00 3.2969938e-37
