inj,img1_constellation,img1_percentage,img2_constellation,img2_percentage,joint_constellation,joint_percentage
inj001,Pisces,44.83275367825183,Cetus,41.046896249660406,Pisces,77.77846827321167
inj002,Ophiucus,21.73839159815623,Ursa Major,50.13898531976886,Ursa Major,90.51223634352212
inj003,Eridanus,86.79187159877748,Eridanus,35.89902817150518,Eridanus,100.0
inj004,Puppis,31.36103254828873,Cygnus,54.78031478591192,Cygnus,100.0
inj005,Canis Minor,14.907668231575608,Cancer,72.49673296297065,Cancer,89.0167110101722
inj006,Sculptor,17.769281584302117,Cygnus,48.58571930273688,Vulpecula,56.752344077353065
inj007,Lynx,12.77692250017544,Lynx,56.25552987947482,Lynx,92.4131768380338
inj008,Cetus,40.800799605900686,Pisces,70.47219198591539,Pisces,73.85361291654763
inj009,Cepheus,38.527380382784095,Andromeda,58.217406648459225,Andromeda,54.14331828975427
inj010,Vela,11.920443881275586,Hydra,15.225577894913162,Vela,57.44213588656296
inj011,Perseus,47.593649719529054,Ursa Major,54.11485697267992,Ursa Major,99.84696507881051
inj012,Libra,56.54912077000037,Lupus,49.8682205200852,Lupus,97.49953551271831
inj013,Pavo,13.817533733997529,Norma,20.15512644816355,Pavo,41.51958373582225
inj014,Draco,42.290310079387,Canes Venatici,29.45662827449067,Draco,57.25400498644918
inj015,Cancer,37.58356244555942,Hydra,91.47726252086315,Hydra,91.84030286735832
inj016,Aquila,61.20901358059636,Canis Minor,18.243018242995255,Aquila,72.94132826319249
inj017,Grus,38.69908045064075,Grus,86.3391212261963,Grus,94.3479643739065
inj018,Boötes,91.22271099050883,Boötes,85.50847874404397,Boötes,95.8276746319143
inj019,Ophiucus,30.97474364957135,Ophiucus,80.80381412367046,Ophiucus,98.12590331812262
inj020,Eridanus,21.279080429217043,Carina,30.44458675795587,Eridanus,85.74139825269619
inj021,Pegasus,12.174363986705817,Pisces,71.76490856105475,Aquarius,84.13033729573642
inj022,Puppis,67.18222654820273,Columba,30.51623757116626,Pictor,90.12811637691969
inj023,Hydra,33.36989534382246,Ursa Major,38.941515843575,Hydra,90.06634648658309
inj024,Taurus,41.3290092615723,Taurus,29.579386950054264,Taurus,48.99341793268893
inj025,Sagittarius,23.984442657784122,Pisces Austrinus,32.41670978591934,Ursa Major,98.17874103268083
inj026,Sagittarius,37.63810803844843,Ophiucus,33.300934607574575,Ophiucus,99.98043331571938
inj027,Serpens,21.605355317666202,Serpens,13.860606599332408,Serpens,29.732252176273775
inj028,Pavo,27.538546324006862,Puppis,16.680205021391618,Musca,63.16800988108927
inj029,Canis Major,28.075743704589858,Centaurus,30.368832298457544,Taurus,55.258884157947776
inj030,Gemini,15.802711136952158,Sagittarius,25.732261065042444,Gemini,25.51235558200087
inj031,Auriga,37.6711818299717,Aries,35.45228638035557,Aries,89.97299283039888
inj032,Pegasus,44.33249986077894,Aquarius,34.136669512839966,Pegasus,55.43911048632412
inj033,Cancer,30.297013555270336,Cancer,31.023742576376424,Cancer,42.95937842641425
inj034,Leo,39.442313918096836,Libra,34.798972962485095,Musca,57.15820228439402
inj035,Cygnus,33.79992200291713,Aquarius,17.75103986158466,Aquarius,63.17397945090478
inj036,Libra,82.99754255762632,Libra,94.48733807778875,Libra,98.84920550206874
inj037,Orion,14.180652873583439,Virgo,21.150809940141325,Pyxis,38.940549182899034
inj038,Auriga,18.934957586078603,Hydra,27.976929691513565,Monoceros,45.05475878050898
inj039,Serpens,38.76618799827703,Libra,30.403299657460835,Scorpius,49.80454312171735
inj040,Lupus,36.461428048637934,Virgo,26.86289794823491,Circinus,94.38260719287595
inj041,Cygnus,40.97298168222772,Cygnus,22.54857794038975,Hercules,39.28330435671466
inj042,Centaurus,12.213360824971886,Virgo,34.10381397969386,Ara,39.92665742519518
inj043,Cetus,52.7646496575355,Auriga,48.014680889476544,Taurus,66.79990071613123
inj044,Aquarius,21.145224235348138,Leo,21.31625020798436,Boötes,63.54255053469608
inj045,Taurus,40.19094707365237,Auriga,25.68133594328647,Taurus,89.12212036839131
inj046,Sculptor,34.53223024358472,Phoenix,44.732206598929466,Sculptor,39.647413740426764
inj047,Aries,19.717295897947984,Auriga,35.957811481816925,Cepheus,51.70128987097306
inj048,Virgo,85.36573522355302,Virgo,73.28743268377445,Virgo,84.64075610713009
inj049,Scorpius,28.791865564083164,Aquila,32.82055414638296,Pisces Austrinus,60.34329164251422
inj050,Hydra,8.927352189294814,Boötes,27.782935204555837,Telescopium,64.32066274355562
inj051,Perseus,21.499515713252055,Cetus,43.91726290719696,Aries,30.5948758127072
inj052,Lupus,22.672854981472693,Canes Venatici,33.687797179526704,Ursa Major,95.81666253166338
inj053,Auriga,24.987484145297355,Sagittarius,33.701206389644675,Sagittarius,67.03446254253936
inj054,Sagittarius,33.806816804808015,Auriga,26.3486664388837,Auriga,49.82727602507745
inj055,Leo,39.61361351556345,Cancer,22.210463331654122,Leo,59.35642640755327
inj056,Pegasus,31.30677538514738,Sagittarius,35.32649323709258,Aquila,37.58825200643911
inj057,Leo,46.989056713748106,Leo,30.589370242325792,Cancer,33.096594540634925
inj058,Fornax,48.3191035050403,Fornax,19.662467723599207,Fornax,54.43079391791562
inj059,Sagittarius,21.164494991804204,Serpens,23.57399581827774,Circinus,62.795095217125684
inj060,Sagittarius,28.99917577578296,Taurus,27.246982864447073,Microscopium,46.22422357674964
inj061,Ophiucus,26.82108188416428,Serpens,45.22069699894921,Serpens,99.22388249348731
inj062,Lynx,65.43578311397675,Lynx,66.86392776878239,Lynx,74.11442054542154
inj063,Ursa Major,31.998352555741967,Boötes,26.05258712428559,Pisces Austrinus,64.57621657376752
inj064,Hercules,21.201916015673586,Hercules,19.737519101424095,Boötes,28.27913568658285
inj065,Pegasus,40.78955636133483,Aquila,24.345672643801937,Aquila,27.967723865660414
inj066,Cygnus,60.54301560025299,Cygnus,90.17852529370425,Cygnus,99.82725071373575
inj067,Sextans,33.85115079995104,Leo,43.453584012963944,Leo,55.98500381053563
inj068,Virgo,93.15760971892932,Virgo,60.986759882508366,Virgo,96.71981693611386
inj069,Orion,25.117203556237666,Camelopardalis,24.786941257335034,Ursa Major,70.50208503281674
inj070,Hydra,37.44303534795217,Lyra,17.145901831209017,Hydra,53.12169551517041
inj071,Gemini,33.88968306991425,Perseus,39.287815610801516,Corvus,63.4464376698549
inj072,Pyxis,39.898551403708794,Ursa Major,27.9610614074222,Hydra,42.82712008426771
inj073,Auriga,39.77077868334129,Monoceros,25.823409288387033,Camelopardalis,67.81575601517405
inj074,Aries,26.137259616859648,Pisces,27.198425655376436,Pisces,46.1015598072212
inj075,Phoenix,32.563786396521344,Cetus,50.80055889653738,Sculptor,34.50053546233769
inj076,Leo,21.022945585516634,Cancer,62.04181780502872,Cancer,79.5595199154512
inj077,Taurus,29.720623936151075,Auriga,25.310707129169558,Camelopardalis,71.59804288060407
inj078,Ursa Major,25.993990276842705,Cetus,30.03595446753432,Pictor,60.19887312808719
inj079,Boötes,33.990620865452094,Virgo,20.619286440073044,Virgo,99.9019766782365
inj080,Draco,86.43944046502963,Draco,75.42315887960534,Draco,51.44383382298735
inj081,Columba,28.123041247127205,Pictor,38.82289044460056,Columba,40.0872776820383
inj082,Leo,36.22311212654407,Leo,42.39636798886292,Leo,52.43512707264833
inj083,Ophiucus,64.05908257661414,Scorpius,59.356882671731626,Ophiucus,98.49026867979359
inj084,Canis Major,22.187128980824927,Ursa Major,19.948484064516524,Monoceros,45.19532092041115
inj085,Draco,35.09584082766597,Draco,73.76564957289803,Draco,98.56108867144768
inj086,Capricornus,43.804393089013566,Hercules,32.11980149152398,Capricornus,90.57635994259795
inj087,Delphinus,16.206001406573524,Pegasus,42.153030670820186,Lacerta,67.19461750479134
inj088,Sagittarius,46.06900484202048,Sagittarius,36.19947282697951,Sagittarius,86.21404770915075
inj089,Libra,18.71809877529653,Perseus,21.186172908364888,Camelopardalis,56.1933175984352
inj090,Leo,24.592449573712635,Leo,28.614631498258642,Leo,35.09978927060694
inj091,Pavo,47.01223226983403,Sagittarius,27.08973360241159,Pavo,52.7550044875296
inj092,Virgo,41.761569657336075,Canes Venatici,28.715302003344835,Canes Venatici,24.548621481994022
inj093,Leo,54.716608918590396,Leo,43.98525604565277,Leo,66.39633568873633
inj094,Hydra,36.721375706895834,Hydra,22.916937037109104,Hydra,48.71863783821039
inj095,Centaurus,14.203231673085654,Leo,58.24536972469318,Virgo,51.07517390790433
inj096,Boötes,22.981245501464713,Columba,14.38733583917494,Corona Borealis,36.69718422997782
inj097,Boötes,57.978182470828855,Orion,16.110785226930098,Boötes,99.93966083809505
inj098,Taurus,32.87919242004086,Cetus,32.92876693770173,Cetus,99.95253293574268
inj099,Leo,16.285104768585065,Ursa Major,27.68822756567194,Ursa Major,32.5546016892926
inj100,Auriga,49.34753652702929,Auriga,84.30401268933284,Auriga,99.61551545930044
inj101,Lupus,28.710783988076216,Columba,47.27646604296808,Vela,99.9999797395807
inj102,Crater,39.79111099096734,Centaurus,35.262622455368046,Crater,47.63308323798825
inj103,Eridanus,39.926389045133035,Columba,38.1280809742951,Columba,99.30992618318774
inj104,Boötes,32.79603937779623,Andromeda,16.484463580206203,Cetus,61.05267808043875
inj105,Cetus,20.078395995212915,Ursa Major,25.4439071815225,Ursa Major,37.26185207118885
inj106,Pictor,38.69313475011823,Hydra,14.307183899262563,Pictor,82.17879014841178
inj107,Microscopium,58.70903298053268,Capricornus,40.9635750120042,Capricornus,74.1423844886258
inj108,Cetus,38.624887473146934,Virgo,13.537176157447092,Cetus,77.95448121185638
inj109,Boötes,50.15118990397889,Canes Venatici,22.160625225643997,Boötes,64.18918343932067
inj110,,,,,,
inj111,Cygnus,33.0624965543748,Vela,38.00984688027672,Chamaleon,84.85819813613212
inj112,Eridanus,66.96349549647269,Eridanus,22.853856068033338,Eridanus,87.62091153036181
inj113,Pisces Austrinus,81.99852490335577,Aquarius,48.69392130774373,Pisces Austrinus,73.96841397951712
inj114,Draco,77.71565485747985,Draco,64.2989721946278,Draco,94.61111720620252
inj115,,,,,,
inj116,Ursa Major,32.67915832857828,Sagittarius,28.48545470826863,Orion,90.59838871384099
inj117,Libra,29.80122255474361,Cygnus,65.26356743499693,Virgo,44.14417902658894
inj118,,,,,,
inj119,Capricornus,65.68321164455466,Aquila,60.98264229406802,Aquila,69.28844611260489
inj120,Cancer,46.48359660371663,Ursa Major,30.85368829491482,Lynx,92.08266057058027
inj121,Cancer,29.464456979137914,Leo,35.460055261544845,Leo Minor,99.50648176481192
inj122,Eridanus,40.49403263848865,Phoenix,37.02377010505832,Phoenix,99.96572784889766
inj123,Aquarius,33.97043194268886,Pegasus,30.237064407422924,Aquarius,48.569939269691595
inj124,Hercules,40.23078903711067,Hercules,25.26639600377604,Hercules,26.46788080517445
inj125,Cygnus,10.980666186927108,Andromeda,29.486993884587775,Cassiopeia,99.5782066813663
inj126,Virgo,20.032430457008623,Carina,39.80750493256367,Hercules,98.09427030174056
inj127,Aries,49.07367441976697,Taurus,66.7281661650402,Aries,96.28711025097797
inj128,Aquarius,23.635014940978675,Coma Berenices,35.91338790218612,Coma Berenices,99.99999926725025
inj129,Leo,38.14545427821729,Leo,56.44340224392932,Leo,97.85280690615976
inj130,Virgo,81.22536137412848,Canes Venatici,12.228806286788124,Virgo,99.14873591078897
inj131,Cygnus,35.676530739604765,Pisces,42.00743497973779,Pisces,64.74256891761698
inj132,Aquila,30.316413569839074,Aquarius,30.42490971038102,Octans,96.81877089827763
