Event 2: [14.174138684632519, 12.52578896673223]
Event 3: [13.230513801368964, 14.767617610358322]
Event 5: [25.549428649460136, 30.147146565323194]
Event 14: [31.018589833845944, 37.87324741156452]
Event 18: [13.428132622119788, 33.79983025431406]
Event 21: [10.182593128881368, 20.730498987415523]
Event 24: [11.819225649629049, 11.45472150972962]
Event 25: [15.679492209336761, 34.441630618538184]
Event 30: [12.36744688364787, 11.90605547237451]
Event 31: [10.025750502095132, 11.854142807196476]
Event 32: [13.301934889890482, 10.256780256743864]
Event 34: [22.74692464526311, 15.858695941884053]
Event 41: [13.958285584739004, 16.60906146069898]
Event 45: [16.237213727937984, 12.072853087910252]
Event 47: [19.30706744707718, 19.216658152897914]
Event 48: [11.725255089493894, 12.487072613976046]
Event 51: [33.12232858955519, 20.366572492292292]
Event 63: [19.258110529578282, 16.22801491264494]
Event 64: [16.041257016723915, 10.123078771856846]
Event 68: [17.84196365247213, 18.0443619602297]
Event 69: [11.7651514884082, 16.971714817397796]
Event 80: [10.97919090122006, 27.44754406349695]
Event 82: [23.50576615042651, 20.878694416716332]
Event 91: [10.33916199133567, 10.452757677020895]
Event 92: [14.533669236913692, 16.517997408495564]
Event 94: [18.84957194872036, 25.178912726284924]
Event 97: [11.004196246177667, 11.148829043985865]
Event 102: [12.778747580957367, 11.0936572589007]
Event 104: [17.510559627844803, 15.564675602249872]
Event 109: [10.048922884076653, 10.250306747424405]
Event 110: [38.67974547672059, 21.449961034005266]
Event 111: [25.337981391012324, 18.100179920777205]
Event 112: [12.038357106992054, 12.295528075607557]
Event 115: [16.601469385904608, 13.063788485983727]
Event 116: [16.460991365022533, 13.886906104441081]
Event 118: [25.607542170686724, 25.661011547590974]
Event 119: [13.311069860382341, 12.80703210694822]
Event 122: [10.536989661292504, 11.55868785872898]
Event 125: [12.958882634500188, 11.948995515109797]
Event 131: [18.34495788703764, 17.21064521309889]
Event 133: [14.635461662118542, 13.93579280099432]
Event 134: [15.423026139948973, 16.87592465199074]
Event 139: [11.473720096110004, 13.395745772178234]
Event 144: [15.27979017614198, 10.153367867323906]
Event 145: [10.20472835719887, 11.099479203030308]
Event 155: [10.706777539323696, 10.840293640133092]
Event 161: [15.219520588871239, 13.662332993943231]
Event 163: [24.012661614642713, 22.147248312551895]
Event 166: [11.801178408215364, 11.863856056386714]
Event 168: [10.575803392665073, 11.1029322418214]
Event 181: [11.567731866666538, 13.06054692365907]
Event 182: [11.401486635339165, 11.78209464889953]
Event 185: [13.498670711711137, 13.621383633730469]
Event 187: [12.419224552491519, 11.89686714317076]
Event 189: [14.179678417236994, 14.089830735068448]
Event 191: [11.142098802788006, 12.284544210002254]
Event 193: [11.04066571680171, 12.000792985306688]
Event 196: [15.593226305087216, 14.797078421989143]
Event 198: [13.887772743777814, 10.158187794187022]
Event 199: [10.025203131017003, 11.494106311378403]
Event 203: [23.011810452756706, 20.512456165374896]
Event 214: [12.029575426904016, 11.867417738743065]
Event 215: [23.700496063944843, 11.529431616655355]
Event 216: [10.292379326025616, 10.423642408735414]
Event 223: [13.425243993283422, 13.062293067380631]
Event 224: [12.928264186565286, 27.61224081465175]
Event 229: [18.160533615909795, 11.999479146431696]
Event 232: [15.488247867889408, 16.69556703084663]
Event 233: [14.385996915323846, 14.077981371599748]
Event 234: [12.654993034043786, 13.03137326210189]
Event 236: [13.112201676854566, 20.193196486702526]
Event 244: [14.264822874421142, 12.370470538513628]
Event 250: [12.221962454698945, 10.691049430801833]
Event 252: [12.785378809418757, 22.256247887659537]
Event 254: [21.1434628437103, 26.278211156912302]
Event 255: [12.085969785108087, 26.9601198072596]
Event 260: [18.323443303618628, 17.97793350152702]
Event 266: [10.590178010278605, 12.627787173463277]
Event 270: [13.661129241974619, 11.274081058245326]
Event 276: [24.817869957779024, 31.563022063330397]
Event 277: [10.581170839333655, 15.894977977336241]
Event 278: [13.29303421750114, 12.546670856529543]
Event 282: [26.670338857769334, 25.134001209799806]
Event 284: [10.921866000163025, 10.300967354419612]
Event 292: [20.867761810278335, 15.529013059567674]
Event 295: [16.335128654201053, 13.663676925537649]
Event 297: [18.91401631002384, 21.56599687753451]
Event 299: [13.874710448353056, 12.986532614091214]
Event 304: [12.232000248823214, 11.502251675162533]
Event 307: [12.364876248291221, 13.103534536702659]
Event 308: [25.05503062106611, 12.035214908078736]
Event 309: [10.765989974249372, 11.367790354230717]
Event 311: [13.17975436942346, 14.010331705014112]
Event 312: [18.55308893891887, 16.446513651842622]
Event 314: [11.042813341181393, 11.690684321094233]
Event 315: [11.726490929567678, 10.971001384001983]
Event 316: [16.596550312013523, 15.677560815228102]
Event 319: [15.757502961170484, 11.537961166473837]
Event 324: [15.148165141729713, 15.462009367879842]
Event 325: [32.527813628061395, 31.171415514109565]
Event 326: [10.897772596013912, 22.876564341922997]
Event 327: [24.229384239135236, 23.721777806589206]
Event 328: [12.44889499736587, 14.04766655736913]
Event 333: [11.063962748490203, 11.058798753674848]
Event 335: [11.174250610790647, 10.495540551401874]
Event 336: [13.561025858068444, 16.94378091004332]
Event 337: [38.54629033142923, 35.2182295288498]
Event 339: [14.969574649340041, 12.615240854202534]
Event 340: [11.023527267905724, 10.466171964477176]
Event 343: [15.71682551900389, 31.246312114964603]
Event 347: [10.634546529537037, 12.348602988736344]
Event 353: [17.94397012666015, 28.49164669934921]
Event 360: [26.084299933020198, 28.852647163185686]
Event 361: [39.25725225248232, 37.08839080014044]
Event 362: [13.135412776805017, 13.789332338826098]
Event 371: [19.694256878657214, 23.655474595007437]
Event 372: [46.15580528960512, 46.17382253992629]
Event 384: [53.27055867837828, 38.42576464034475]
Event 386: [28.53770626623445, 28.34884289333022]
Event 392: [10.664791546675966, 14.764567996394952]
Event 394: [14.423572879411433, 16.41474284908978]
Event 398: [25.90311703937754, 31.99192289926312]
Event 399: [17.422969536062922, 13.584522253526048]
Event 405: [12.71576067055768, 12.66676769057802]
Event 406: [10.141253970217758, 11.077081622801268]
Event 408: [19.1955622462174, 17.76343603466688]
Event 411: [45.428511149179165, 38.46629964817947]
Event 415: [14.077512769596767, 32.417838140884264]
Event 417: [15.429862459721273, 11.622674183622282]
Event 420: [12.538328879389269, 20.180047083004368]
Event 424: [10.550394170993656, 12.980244039544342]
Event 427: [11.581997242897893, 14.735064812805444]
Event 429: [12.07601184569094, 11.348499591505876]
Event 430: [38.00281707437518, 37.97169221165309]
Event 438: [12.365475743284728, 11.97476550530656]
Event 443: [33.98768877197296, 13.387292830531207]
Event 446: [15.13586224439868, 13.075376098024554]
Event 447: [18.976416224298774, 19.50554278164527]
Event 448: [10.932307943707634, 15.76088212843336]
Event 450: [13.632397789107909, 13.465954366118016]
Event 452: [13.411990415982512, 12.74010743198798]
Event 453: [11.507825928316572, 10.929033568975647]
Event 454: [10.829524402028243, 11.647901474944469]
Event 459: [18.042422054992745, 18.637923576781223]
Event 463: [13.367935538731324, 12.724540107431206]
Event 468: [48.3362417593174, 22.156039822778858]
Event 472: [10.729432585423684, 10.890272614004184]
Event 475: [88.94655525903418, 88.77329407953404]
Event 480: [12.112604923843861, 12.051306823059255]
Event 484: [12.978907673627571, 12.646681236912801]
Event 489: [10.0204974088077, 23.810540561932186]
Event 491: [15.189631081406509, 13.788577150450738]
Event 492: [15.137030512100859, 12.554832939416324]
Event 493: [12.285521905216363, 11.291121925912554]
Event 495: [12.640085072999838, 13.291459527555203]
Event 496: [15.209605787803845, 14.185136493655664]
Event 499: [12.681835724239072, 11.835094931174396]
