# inj optimal_img1 optimal_img2 optimal_joint matched_img1 matched_img2 matched_joint optimal_joint_p5 optimal_joint_p50 optimal_joint_p95 matched_joint_p5 matched_joint_p50 matched_joint_p95
1 14.144070 12.689700 19.029805 14.375590 12.901047 19.300718 17.375951 19.029805 20.681329 19.045451 19.300718 19.494776
2 12.893469 13.115041 18.415754 13.093259 13.321912 18.673843 16.792818 18.415754 20.091846 18.417614 18.673843 18.872515
3 23.026694 25.737532 34.552571 23.126639 25.895015 34.718028 32.887237 34.552571 36.211878 34.580929 34.718028 34.808250
4 34.479511 42.225722 54.521530 34.537767 42.276553 54.588363 52.862938 54.521530 56.183275 54.495187 54.588363 54.647974
5 8.776967 28.061040 29.413389 9.088203 28.162164 29.587781 27.761369 29.413389 31.074410 29.427183 29.587781 29.686887
6 8.964528 19.519926 21.503509 9.217520 19.649804 21.698031 19.864919 21.503509 23.166519 21.467248 21.698031 21.860841
7 11.004110 11.486345 15.927279 11.185839 11.676292 16.166711 14.277732 15.927279 17.572467 15.872922 16.166711 16.345995
8 17.097031 36.815908 40.599569 17.255864 36.882448 40.717087 38.952470 40.599569 42.238304 40.598620 40.717087 40.795743
9 13.201520 10.905105 17.143990 13.433861 11.127678 17.440743 15.475446 17.143990 18.807618 17.135865 17.440743 17.647731
10 9.859722 11.120207 14.892745 10.076431 11.390897 15.203544 13.212814 14.892745 16.583628 14.898005 15.203544 15.422759
11 14.197398 10.258704 17.546791 14.501131 10.502684 17.896145 15.879733 17.546791 19.185656 17.634998 17.896145 18.062700
12 21.652938 16.427673 27.193202 21.766729 16.565112 27.351260 25.532418 27.193202 28.854066 27.174969 27.351260 27.483387
13 13.207155 14.552177 19.671395 13.462183 14.749373 19.952700 18.037563 19.671395 21.341267 19.731286 19.952700 20.137236
14 17.560484 14.699933 22.943126 17.732440 14.852807 23.127434 21.300358 22.943126 24.548362 22.934636 23.127434 23.257443
15 20.359172 20.205694 28.706185 20.483534 20.407566 28.910176 27.084364 28.706185 30.334924 28.757860 28.910176 29.007480
16 12.069710 12.082227 17.105735 12.262724 12.256953 17.334804 15.501687 17.105735 18.718304 17.062459 17.334804 17.553812
17 33.781059 22.267794 40.470349 33.838050 22.383818 40.568288 38.852598 40.470349 42.134839 40.447529 40.568288 40.644518
18 19.079146 16.200424 25.055559 19.226122 16.296315 25.198228 23.430540 25.055559 26.650577 25.030787 25.198228 25.304268
19 18.713635 10.521850 21.495193 18.835437 10.738790 21.676560 19.818647 21.495193 23.139899 21.480834 21.676560 21.802130
20 15.081033 16.350578 22.261806 15.231631 16.572929 22.502344 20.610115 22.261806 23.908123 22.272425 22.502344 22.646630
